title;description;transport;price;room
Location appartement 2 pièces 26 m² Paris 10E;Paris 10e (75010). Appartement 2 pièces de 26,2 m², dans un immeuble ancien avec digicode, 3e étage. Entrée, salon avec cheminée, cuisine ouverte équipée de 2 plaques induction, micro-ondes, lave-linge, réfrigérateur, chambre avec...;Château d'Eau, Gare de l'Est (Verdun), Jacques Bonsergent;1.090 €;Pièces 2 Chambre 1 Surface 26 m 2
Location meublée chambre 20 m² Paris 13E;Paris 13e (75013). Chambre tout confort dans une maison avec jardin. Salon à partager. Cuisine et son équipement à partager (lave-linge, lave-vaisselle, micro-ondes, gazinière, machine à café, ustensiles de cuisine, vaisselle...). ...;Tolbiac, Maison Blanche, Place d'Italie;650 €;Pièce 1 Chambre 1 Surface 20 m 2
Location garage, parking Paris 19E;Paris 19e (75019). Large place de stationnement, 1er sous-sol, sécurisé, Villette 19eme. Location par an. Loyer charges comprises.;Corentin Cariou, Porte de la Villette, Crimée;115 €;
Location appartement 2 pièces 32 m² Paris 5E;Paris 5e (75005). 5ème, proximité Contrescarpe. Appartement 32 m², très clair, lumineux : séjour/salon, 1 chambre, salle de bain, cuisine équipée, fenêtres double vitrage, parquet, porte blindée serrure 3 points. 3e étage. ...;;1.207 €;Pièces 2 Chambre 1 Surface 32 m 2
Location meublée appartement 2 pièces 30 m² Paris 18E;Paris 18e (75018). Appartement 1/2 pièces (portes coulissantes), meublée, environ 30 m². Proche métro La Fourche. Voie privée fleurie, calme, ensoleillée. Coin cuisine (machine à laver, micro-ondes), salle d'eau. Loyer :...;La Fourche, Guy Môquet, Brochant;1.000 €;Pièces 2 Chambre 1 Surface 30 m 2
Location ou cession local commercial 30 m² Paris 3E;Paris 3e (75003). Marais. Belle boutique à céder actuellement salon de coiffure. 88 rue des Archives. Quartier très commerçant, proche de la rue de Bretagne. Cession de bail tous commerces, signé le 1er janvier 2016. Reprise...;;1.630 €;Surface 30 m 2
Location ou cession local commercial 61 m² Paris 9E;Paris 9e (75009). Bail à céder de boutique (cède pour 60.000 € négociable). Boutique 61 m² + cave 1 m². Dans le secteur Rochechouard/Condorcet, entre métros Cadet et Anvers. Bail tous commerces sauf...;Poissonnière, Anvers, Barbès - Rochechouart;1.457 €;Surface 61 m 2
Location appartement 2 pièces 56 m² Paris 17E;Paris 17e (75017). Au 4e étage sans ascenseur d'un immeuble pierre de taille. Bel appartement, lumineux, entièrement rénové de 56 m² composé de 2 pièces (parquet, cheminées, moulures). Idéalement situé, dans un quartier en pleine...;Guy Môquet, La Fourche, Brochant;1.500 €;Pièces 2 Chambre 1 Surface 56 m 2
Location meublée studio 33 m² Paris 17E;Paris 17e (75017). Quartier : Courcelles - Wagram Plaine Monceau/Courcelles. Idéalement situé dans un immeuble pierre de taille, gardienne, digicode / interphone, au 6e et dernier étage sans ascenseur. Beau pied-à-terre meublé,...;;1.216 €;Pièce 1 Surface 33 m 2
Location meublée studio 28 m² Paris 10E;Paris 10e (75010). Très agréable studio meublé dans immeuble moderne, 3e avec ascenseur. Pièce à vivre très claire et grande baie vitrée donnant sur les arbres du jardin de l'immeuble, calme, jardin privé accessible pour les occupants...;;1.250 €;Pièce 1 Surface 28 m 2
Location meublée studio 27 m² Paris;Paris 10e (75010). Studio 27 m², au 2ème étage, 5 cour des Petites Ecuries, métro Bonne Nouvelle (lignes 8/9) ou Strasbourg-Saint-Denis (ligne 4). Grand studio clair, 2 fenêtres double vitrage, meublé et équipé lave-linge, vraie...;;950 €;Pièce 1 Surface 27 m 2
Location meublée appartement 5 pièces 96 m² Paris 10E;Paris 10e (75010). Bel appartement haussmannien 5 pièces, 3 chambres. Entièrement revu et refait à neuf. Immeuble de style Haussmannien. Immeuble en pierre de taille. Cuisine aménagée refaite à neuf. Salle de bains neuve. Fenêtres...;Bonne Nouvelle, Château d'Eau, Strasbourg - Saint-Denis;2.910 €;Pièces 5 Chambres 3 Surface 96 m 2
Location appartement 2 pièces 46 m² Paris 12E;Paris 12e (75012). Daumesnil. 2 pièces 46 m² + balcon 3 m², 5ème étage sur jardin sans vis-à-vis. Très clair et calme, toutes les fenêtres donnent sur le jardin. Résidence récente avec chauffage collectif, ascenseur,...;Dugommier, Daumesnil (Félix Éboué), Cour Saint-Émilion;1.280 €;Pièces 2 Chambre 1 Surface 46 m 2
Location bureaux et locaux professionnels 94 m² Paris 16E;Paris 16e (75016). Dans hôtel particulier de très bon standing à 250 m de la Place de l'Étoile. En rez-de jardin à l'anglaise avec entrée bourgeoise rue Dumont d'Urville et accès avec petite vitrine rue La Pérouse. Plateau de...;Kléber, Charles de Gaulle - Étoile, George V;3.600 €;Surface 94 m 2
Location appartement 2 pièces 36 m² Paris 16E;Paris 16e (75016). Appartement non meublé 2 pièces, immeuble Haussmannien, 4ème étage, ascenseur. Cuisine équipée, double vitrage, toilettes séparées, cave, digicode, interphone. Appartement sur rue, calme et lumineux. Repeint...;;1.300 €;Pièces 2 Chambre 1 Surface 36 m 2
Location meublée chambre 10 m² Paris 17E;Paris 17e (75017). Dans quartier calme et agréable de la plaine Monceau. À 15mn des Champs-Elysées, de l'Opéra et de la gare Saint-Lazare. Loue chambre meublée mansardée avec lavabo (douche et wc sur palier) au 4ème étage sans...;Pont-Cardinet, Malesherbes, Wagram;599 €;Pièce 1 Chambre 1 Surface 10 m 2
Location garage, parking Paris 15E;Paris 15e (75015). Sous résidence à louer emplacements de parkings et boxs. Règlement par trimestre à partir de 90 euros mensuels loyer toutes charges comprises.;Convention, Georges Brassens, Vaugirard (Adolphe Chérioux);90 €;
Location meublée studio 11 m² Paris 17E;Paris 17e (75017). Studette de 10,46 m² meublé, rue Sauffroy. A deux pas du métro Brochant, du marché des Batignolles, du Parc Martin Luther King et de la piscine de la Jonquière. 1er étage sans ascenseur, interphone, tout...;Brochant, Guy Môquet, Porte de Clichy;590 €;Pièce 1 Surface 11 m 2
Location meublée studio 9 m² Paris 10E;Paris 10e (75010). Studio meublé refait 9 m² équipé pour un(e) étudiant(e). Au 6ème sans ascenseur, 1 digicode et gardien d'immeuble. Voisinage d'étage calme. Très bien situé métro Poissonnière. Commerces, métro, bus, RER,...;;550 €;Pièce 1 Surface 9 m 2
Location studio 29 m² Paris 17E;Paris 17e (75017). Grand studio intégralement refait à neuf (en 2016) de 29 m², situé entre l'Arc-de-Triomphe et l'avenue des Ternes. Au 5ème étage avec ascenseur d'un immeuble de standing avec gardien. Très lumineux, bien agencé,...;Ternes, Argentine, Charles de Gaulle - Étoile;1.080 €;Pièce 1 Surface 29 m 2
Location bureaux et locaux professionnels 12 m² Paris 13E;Paris 13e (75013). Bureau situé sur une péniche amarrée aux pieds de la Cité de la Mode et du Design sur le Port d'Austerlitz dans le 13e arrondissement parisien. Bureau privé au sein d'une pépinière de micro-entreprises ayant une...;Quai de la Gare, Gare d'Austerlitz, Gare de Lyon;780 €;Surface 12 m 2
Location meublée studio 20 m² Paris 14E;Paris 14e (75014). Coeur Montparnasse, limite 6e. Studio 20 m², meublé et équipé tout confort (lave linge, vaisselle), salle d'eau/wc. Au 2e étage, clair et calme. Digicode + interphone. Belle situation, 3 métros, tous commerces. ...;;890 €;Pièce 1 Surface 20 m 2
Location bureaux et locaux professionnels 135 m² Paris 13E;Paris 13e (75013). Bureaux / 300 m² divisibles en 2 lots. Locaux professionnels à louer dans le quartier BNF à Paris 13ème, rue René Goscinny à 200m de la station de métro Bibliothèque François Mitterrand (ligne 14 - RER C).;Bibliothèque François Mitterrand, Avenue de France, Cour Saint-Émilion;4.400 €;Surface 135 m 2
Location garage, parking Paris 14E;Paris 14e (75014). Emplacement de parking au 1er sous-sol immeuble d'habitation - pour voiture citadine - sécurisé badge d'accès. Loyer charges comprises.;Mouton-Duvernet, Gaîté, Denfert-Rochereau (Colonel Rol-Tanguy);100 €;
Location appartement 2 pièces 39 m² Paris 15E;Paris 15e (75015). Métro Convention. Immeuble pierre de taille, digicode. Beau 2 pièces 39m2, au 1er, double exposition sur cour et sur rue : entrée, séjour, chambre, cuisine séparée, salle de bains, wc séparés. Parquet. Chauffage...;;1.040 €;Pièces 2 Chambre 1 Surface 39 m 2
Location appartement 2 pièces 49 m² Paris 16E;Paris 16e (75116). Deux pièces dans immeuble récent, quartier commerçant et résidentiel, à proximité galerie marchande, lycée Janson, Université Paris Dauphine métro Trocadéro, Victor Hugo, Boissière. Séjour, chambre, cuisine équipée,...;;1.860 €;Pièces 2 Chambre 1 Surface 49 m 2
Location ou cession local commercial 35 m² Paris 20E;Paris 20e (75020). Belle boutique de 35 m² avec 4 m de façade en linéaire sur axe passant et assez commerçant, proche de la place Auguste Métivier (métro Père Lachaise). Bon état général, local climatisé. Toutes activités sauf...;;1.700 €;Surface 35 m 2
Location meublée studio 18 m² Paris 15E;Paris 15e (75015). Trés joli F1 meublé et équipé de 18 m² récemment rénové. Situé dans le 15ème arrondissement de Paris. Disponible de suite. Dans un bel immeuble, au rez-de-chaussée. Beau jardin privatif dans la copropriété.;;900 €;Pièce 1 Surface 18 m 2
Location garage, parking Paris 6E;Paris 6e (75006). 72 rue de Sèvres-Vaneau-Duroc. Box fermé au 1 er sous-sol. Durée minimum 6 mois. Loyer charges comprises.;Duroc, Vaneau, Falguière;160 €;
Location garage, parking Paris 9E;Paris 9e (75009). Secteur Trinité : emplacement de parking au 4ème sous-sol (immeuble exclusivement de parkings de 5 sous-sol) - Hauteur : 1,85 m, largeur : 2,40 m longueur : 5,25 m. Accès facile sécurisé par bip -...;Trinité - d'Estienne d'Orves, Saint-Georges, Notre-Dame-de-Lorette;180 €;
Location meublée studio 30 m² Paris 14E;Paris 14e (75014). Idéalement situé, proche commerces et transports. Grand studio traversant de 30 m², 2ème étage sans ascenseur, comprenant, une entrée, une belle pièce de vie, une cuisine indépendante avec coin repas, une salle...;Gaîté, Pernety, Edgar Quinet;1.150 €;Pièce 1 Chambre 1 Surface 30 m 2
Location meublée appartement 2 pièces 55 m² Paris 15E;Paris 15e (75015). Au pied métro La Motte-Picquet. 2 pièces 55 m², meublé, lumineux, balcon 8 m² baies vitrées, stores électriques, très belle vue sur monuments (Tour Eiffel, Invalides, Sacré-Coeur...), double vitrage, jacuzzi,...;;1.800 €;Pièces 2 Chambre 1 Surface 55 m 2
Location garage, parking Paris 16E;Paris 16e (75016). Une place de parking à louer, dans un immeuble récent, entrée sécurisée, 4ème sous-sol. 200 € par mois, charges comprises, caution 200 euros remoboursée à l'issu de la location, 15bis, rue Louis David, 16ème;Rue de la Pompe (Avenue Georges Mandel), Trocadéro, Passy;200 €;
Location ou cession local commercial 31 m² Paris 17E;Paris 17e (75017). Local idéal pour profession médicale (dentiste, généraliste, orthophoniste, kiné,...), situé pas loin du RER C et de la ligne 3. Composé d'une grande entrée (accueil et salle d'attente) + 2 pièces + cuisinette + wc. ...;Porte de Champerret, Pereire (Maréchal Juin), Pereire - Levallois;1.400 €;Surface 31 m 2
Location meublée bureaux et locaux professionnels 15 m² Paris 16E;Paris 16e (75016). Bureau de 15 m² en bon état vide( meubles dans les photos seront enlevés). Au 2ème étage d'un immeuble de bureaux de bon standing, donnant sur cour claire et calme. Emplacement de 1er ordre. 7 min à pied de...;Porte d'Auteuil, Michel-Ange - Auteuil, Michel-Ange - Molitor;730 €;Surface 15 m 2
Location appartement 2 pièces 50 m² Paris 5E;Paris 5e (75005). Rue Poliveau près place Geoffroy St-Hilaire et commerces. Vaste 2 pièces 50 m². 1er étage ascenseur. Clair, exposition Sud, soleil. Très bon état, peintures 2014-2016. Bien distribué. Séjour avec fibre...;Saint-Marcel, Censier - Daubenton, Campo-Formio;1.670 €;Pièces 2 Chambre 1 Surface 50 m 2
Location ou cession local commercial 80 m² Paris 4E;Paris 4e (75004). Au 9 rue de Rivoli. Murs libres de 80 m² environ de plain-pied et 6 mètres façade. Bail neuf 3, 6, 9 ou 10 ans. Loyer : 80.000 € HT - HC annuels. Droit d'entrée de 200.000 €. ...;Saint-Paul (Le Marais), Pont Marie (Cité des Arts), Hôtel de Ville;6.666 €;Surface 80 m 2
Location bureaux et locaux professionnels 115 m² Paris 10E;Paris 10e (75010). Beaucoup de charme pour ce bureau atypique de 110 m², en rez-de-chaussée et sous sol à l'intérieur d'un loft-bureau de 140 m². Une surface de 50 m² avec 9 postes de travail au Rez de chaussé avec...;Bonne Nouvelle, Château d'Eau, Poissonnière;4.300 €;Surface 115 m 2
Location meublée appartement 2 pièces 37 m² Paris 10E;Paris 10e (75010). Métro La Chapelle. 2 pièces meublées au 3ème étage sans ascenseur, comprenant une cuisine ouverte sur l'entrée, un séjour, une chambre avec salle de bains, wc. Une cave. Visites vendredi 20/10/2017 et samedi 21/10/2017...;;1.100 €;Pièces 2 Chambre 1 Surface 37 m 2
Location appartement 2 pièces 56 m² Paris 12E;Paris 12e (75012). Paris 12, au 32 bis rue de la Voute, proche commerçants, métro, bus. Dans immeuble 1990, au rez de chaussée, grand 2 pièces 56 m², avec cuisine séparée aménagée (plaques de cuisson électriques, mais sans autre...;Porte de Vincennes, Alexandra David-Néel, Picpus (Courteline);1.375 €;Pièces 2 Chambre 1 Surface 56 m 2
Location garage, parking Paris 14E;Paris 14e (75014). Parking dans résidence faisant l'angle rue Pernéty, rue Guilleminot dans le 14ème. Libre à compter du 1er novembre. Loyer : 110 € charges comprises (exactement identique à celui du précédent...;Pernety, Plaisance, Gaîté;110 €;
Location meublée appartement 2 pièces 51 m² Paris 15E;Paris 15e (75015). Quartier Pasteur. Beau 2 pièces meublé de 51 m², refait à neuf. Immeuble de bon standing au 3ème étage avec ascenseur. Très lumineux exposé Sud Est et traversant, vue dégagée. L'appartement se compose d'un...;Volontaires, Pasteur, Vaugirard (Adolphe Chérioux);1.780 €;Pièces 2 Chambre 1 Surface 51 m 2
Location studio 29 m² Paris 15E;Paris 15e (75015). Loue vide, studio 29 m², très clair, parquet, entrée, pièce, grande cuisine semi-aménagée avec meubles et 4 trous gaz, salle de bains avec baignoire et wc, grand dressing. Double vitrage. Branchement machine à...;Dupleix, Avenue Émile Zola, La Motte-Picquet - Grenelle;1.000 €;Pièce 1 Surface 29 m 2
Location meublée studio 28 m² Paris 19E;Paris 19e (75019). Grand studio de 28 m². Passage semi piétonnier 2 pièces formant un studio meublé rénové récemment, clair et calme, chauffage central : séjour meublé avec soin (télévision écran plat), cuisine équipée (lave...;Télégraphe, Hôpital Robert-Debré, Pré Saint-Gervais;995 €;Pièce 1 Surface 28 m 2
Location meublée appartement 2 pièces 32 m² Paris 5E;Paris 5e (75005). Charmant duplex, 32 m², rue des Ecoles, sur rue et Jardin : au 3e étage : 1 cuisinette équipée (induction, four, réfrigérateur /congélateur) - 1 pièce à vivre, au 4e étage sur jardin : 1 chambre -...;Cardinal Lemoine, Jussieu, Maubert - Mutualité;1.185 €;Pièces 2 Chambre 1 Surface 32 m 2
Location meublée appartement 2 pièces 37 m² Paris 20E;Paris 20e (75020). Dans une rue calme, à deux pas de la Campagne à Paris. 2 pièces traversant, lumineux, de 37 m², en très bon état, rénovation récente, au 4ème étage d'un bel immeuble 1930. Entrée, salle de bains, cuisine équipée,...;Pelleport, Séverine, Porte de Bagnolet;1.200 €;Pièces 2 Chambre 1 Surface 37 m 2
Location garage, parking Paris 11E;Paris 11e (75011). 3 Parkings à louer au 27 rue des Taillandiers (2,30 m x 4,80 m), (2m x 4,94 m),(2m x 7,60 m pour voiture + moto) au 1er sous-sol. Accès direct facile, situé face à la rampe d'entrée sortie. Accès véhicule par...;;100 €;
Location appartement 2 pièces 46 m² Paris 13E;Paris 13e (75013). Appartement de deux pièces de 46 m² plus cave au sous sol. Proche de la place de Rungis refait à neuf avec balcon au 5ème étage sans ascenseur. Cuisine aménagée avec plan de travail, éléments hauts et bas. Plaque...;Stade Charléty, Poterne des Peupliers, Cité universitaire;1.290 €;Pièces 2 Surface 46 m 2
Location ou cession local commercial 45 m² Paris 15E;Paris 15e (75015). Au 1er étage du Centre Commercial Montparnasse. Boutique d'angle située sur la trémie centrale du Centre Commercial. Superficie de 45 m² et façade de 13 mètres environ. Location précaire (bail dérogatoire de...;Montparnasse - Bienvenüe, Edgar Quinet, Falguière;6.000 €;Surface 45 m 2
Location appartement 6 pièces 131 m² Paris 15E;Paris 15e (75015). Appartement de six pièces entièrement rénové d'une surface de 130 m², situé au 3ème étage avec ascenseur d'un bel immeuble type Haussmannien. Composé d'une grande galerie d'entrée, d'un séjour double, 4 chambres,...;;3.900 €;Pièces 6 Chambres 4 Surface 131 m 2
Location meublée appartement 2 pièces 50 m² Paris 17E;Paris 17e (75017). A 500 m de Charles de Gaulle Etoile. Appartement 2 pièces avec salon, cuisine équipée à neuf, chambre, salle de bains, situé au rez-de chaussée cour et rue. Loyer : 1.700 € / mois charges comprises...;;1.700 €;Pièces 2 Chambre 1 Surface 50 m 2
Location garage, parking Paris 11E;Paris 11e (75011). Bd Voltaire metro rue des boulets. Loue place de parking 3,70 m sur 4,70. Au 1er sous sol accès par rampe (bip) ascenseur immeuble (vigik + clé). Location à l'année loyer mensuel charges comprises 100 €/mois.;Rue des Boulets, Faidherbe - Chaligny, Charonne;100 €;
Location bureaux et locaux professionnels 224 m² Paris 3E;Paris 3e (75003). Rue Réaumur, au pied du métro Arts - Métiers. Bureaux d'une superficie totale de 224m2, occupant tout le 3ème étage, rénovés récemment. Ascenseur et parties communes soignées. Lumineux et traversant (côté rue...;;11.000 €;Surface 224 m 2
Location meublée appartement 2 pièces 41 m² Paris 16E;Paris 11e (75011). Ranelagh, 2 pièces meublé 41m2 Au 2e étage avec ascenseur dans un immeuble récent de standing, très bel appartement exposé sud, en excellent état. Une pièce à vivre spacieuse et lumineuse, ouvrant sur un balcon sur...;Ranelagh, Jasmin, La Muette;1.550 €;Pièces 2 Chambre 1 Surface 41 m 2
Location meublée appartement 4 pièces 74 m² Paris 16E;Paris 16e (75016). **4-5 pièces meublé**, double séjour avec cuisine américaine, électroménager neuf. 3 chambres avec dressing, salle bains et wc séparés. Sur cour et jardin. Proche place Victor Hugo, Iena, Rue de la Pompe. ...;;2.650 €;Pièces 4 Chambres 3 Surface 74 m 2
Location meublée appartement 2 pièces 30 m² Paris 13E;Paris 13e (75013). Appartement meublé de 30 m² comprenant 2 pièces indépendantes composée d'une cuisine équipée et d'une chambre avec canapé lit, bureau et Télévision. Salle de bain/wc indépendant. Chauffage central indépendant...;Chevaleret, Nationale, Olympiades;830 €;Pièces 2 Chambre 1 Surface 30 m 2
Location appartement 3 pièces 39 m² Paris 10E;Paris 10e (75010). Très beau 3 pièces refait à neuf 38,80 m² : entrée, séjour, 2 chambres, cuisine américaine, salle d'eau avec douche à l'italienne. Parquet massif. Porte blindée, digicode, interphone, gardien. A 3 mn...;;1.178 €;Pièces 3 Chambres 2 Surface 39 m 2
Location bureaux et locaux professionnels 10 m² Paris 15E;Paris 15e (75015). Espace Rosenwald est situé à proximité de la Gare Montparnasse, du Parc des Expositions, quartier Convention et Parc Georges Brassens. Nous proposons à la location, des bureaux lumineux (10 à 27 m²), récents et...;Porte de Vanves, Brancion, Plaisance;450 €;Surface 10 m 2
Location meublée studio 25 m² Paris 8E;Paris 8e (75008). A 50 m des Champs Elysées (rue du Ponthieu). Superbe studio refait à neuf et intégralement meublé de 25 m² sur cours privée. Au 2ème étage par ascenseur. Emplacement d'exception dans un immeuble de grand...;;1.450 €;Pièce 1 Surface 25 m 2
Location garage, parking Paris 15E;Paris 15e (75015). Bir-Hakeim / Dupleix / Charles Michels. Grande place de parking sécurisée au 2ème sous-sol, clef de porte, carte magnétique et clef pour cadenas du stop-park. Accès piéton par badge et ascenseur. Gardien 24h/24h. ...;Bir-Hakeim (Tour Eiffel), Champ de Mars - Tour Eiffel, Avenue du Président Kennedy;110 €;
Location meublée studio 25 m² Paris 15E;Paris 15e (75015). Disponible pour courte durée uniquement : de 1 à 3 mois et demi maximum (du 1er décembre au 18 mars 2018). Charmant studio proche Tour Eiffel à pied : 20 minutes à pied, 5 en bus, 10 en métro. Idéal 2...;Vaugirard (Adolphe Chérioux), Volontaires, Cambronne;950 €;Pièce 1 Surface 25 m 2
Location studio 22 m² Paris 17E;Paris 17e (75017). Porte Maillot - Neuilly. Quartier résidentiel. Résidence de standing située au milieu d'un jardin arboré et calme. Accès sécurisé, gardien, interphone, digicode. Grand studio entièrement rénové de 22 m² en...;Louise Michel, Porte de Champerret, Neuilly - Porte Maillot;1.150 €;Pièce 1 Surface 22 m 2
Location bureaux et locaux professionnels 25 m² Paris 17E;Paris 17e (75017). 'Coup de Coeur' Bureau original rez-de-chaussée Grande fenêtre sur rue, immeuble pierre de taille. Porte Maillot, face hôtel Hayat Regencyt. Accès rapide - stratégique - Périphérique Porte des Ternes/Champerret -...;Neuilly - Porte Maillot, Porte Maillot (Palais des Congrès), Porte de Champerret;900 €;Surface 25 m 2
Location meublée appartement 2 pièces 20 m² Paris 17E;Paris 17e (75017). Dans une petite copropriété, sur cour, logement calme dans un quartier très animé. 3 ème et dernier étage. 2 fenêtres, équipements neufs, internet, télévision. Disponible à partir du 1er Décembre. Loyer charges...;Ternes, Charles de Gaulle - Étoile, Argentine;950 €;Pièces 2 Chambre 1 Surface 20 m 2
Location meublée appartement 2 pièces 47 m² Paris 18E;Paris 18e (75018). Appartement de 47 m², au 1er étage, ascenseur, 2 pièces (1 chambre), refait à neuf en 2016, meublé avec goût et équipé avec électroménager récent et sous garantie, (lave linge, four, micro-ondes,...;Barbès - Rochechouart, Anvers, Château Rouge;1.400 €;Pièces 2 Chambre 1 Surface 47 m 2
Location garage, parking Paris 6E;Paris 6e (75006). Parking situé au : 63 rue du cherche midi. Parking au 3ème sous-sol. Accès par monte voiture et ascenseur piéton. Poids du véhicule maximum : 1,8 tonne. Loyer charges comprises;;110 €;
Location bureaux et locaux professionnels 58 m² Paris 17E;Paris 17e (75017). Locaux professionnels à deux pas du Pont Cardinet. Quartier en pleine mutation. Cabinet situé au rez-de-chaussée d'un immeuble d'habitation. Surface plain-pied 58 m², sous-sol 16 m² (lavabo, wc,...;;2.200 €;Surface 58 m 2
Location meublée studio 25 m² Paris 10E;Paris 10e (75010). A 50 m de la Porte Saint Martin, métro Strassbourg St Denis. Studio meublé, 24,70 m². Au 1er étage. 2 fenêtres double vitrage sur petite rue piétonne. Porte nlinbdée et interphone. Composé d'un séjour, d'une...;;830 €;Pièce 1 Surface 25 m 2
Location appartement 2 pièces 30 m² Paris 13E;Paris 13e (75013). Boulevard Arago, métro Les Gobelins (ligne 7). Dans bel immeuble ancien, tapis escalier, interphone, gardienne, verdure plein sud. 2 pièces 30 m² vue dégagée sur parc : entrée, coin-cuisinette équipée,...;Les Gobelins, Glacière, Corvisart;1.150 €;Pièces 2 Chambre 1 Surface 30 m 2
Location meublée appartement 2 pièces 39 m² Paris 13E;Paris 13e (75013). Métros : Place d'Italie - Nationale - Campo-Formio - Olympiades Lignes 5 - 6 - 7 - 14 Bus : lignes 27 - 47 - 57 - 64 - 83. Deux pièces très clair et très calme, toutes les fenêtres donnent sur un jardin...;Nationale, Place d'Italie, Campo-Formio;1.480 €;Pièces 2 Chambre 1 Surface 39 m 2
Location meublée studio 33 m² Paris 14E;Paris 14e (75014). Métro Vavin, 5 mn jardin du Luxembourg. Au 2e, ascenseur, très calme, sur cour d'un immeuble pierre de taille. Grand studio moderne parfait état, 33 m², meublé : cuisine équipée, salle de bains, lave-linge,...;Vavin, Raspail, Edgar Quinet;1.232 €;Pièce 1 Chambre 1 Surface 33 m 2
Location garage, parking Paris 14E;Paris 14e (75014). Box dans résidence sécurisée, proche de la gare Montparnasse, accessible facilement au 1er sous-sol du parking de la résidence. Digicode pour l'accès et gardien dans la copropriété. Parking éclairé. Le box ferme à...;Pernety, Gaîté, Plaisance;130 €;
Location meublée studio 26 m² Paris 14E;Paris 14e (75014). T1 meublé Bd St Jacques, orienté Sud, au 6e étage, ascenseur, digicode, gardiennage. - Salon très agréable avec grande ouverture, parquet au sol, Mezzanine construite sur mesures avec lit de 140 cm, canapé, bureau,...;Saint-Jacques, Glacière, Denfert-Rochereau (Colonel Rol-Tanguy);970 €;Pièce 1 Surface 26 m 2
Location meublée studio 40 m² Paris 16E;Paris 16e (75016). Trocadéro/Passy. Grand studio meublé 40 m². Rez-de-chaussée. Comprenant : cuisine séparée et équipée, salle de bains/wc, lave-linge. Nombreux rangements et placards. Eau et chauffage collectifs. ...;Passy, Rue de la Pompe (Avenue Georges Mandel), Trocadéro;1.200 €;Pièce 1 Chambre 1 Surface 40 m 2
Location appartement 5 pièces 116 m² Paris 16E;Paris 16e (75016). Appartement 5 pièces, Boulevard Murat. Bel immeuble 1900 briques et pierres. 5 pièces 116 m², au 5e ét, ascenseur : entrée, salon/salle à manger, cuisine, salle de bains, 3 chambres dont 2 sur cour. Nombreux...;Exelmans, Michel-Ange - Molitor, Porte d'Auteuil;2.770 €;Pièces 5 Chambres 3 Surface 116 m 2
Location appartement 3 pièces 53 m² Paris 8E;Paris 8e (75008). 3 pièces meublé de 53 m², à 2 pas de l'Arc de Triomphe, au 32 avenue de Frienland, dans immeuble Hausmannien très bien entretenu avec gardien et digicode. 2ème étage avec ascenseur. Cuisine américaine,...;;2.250 €;Pièces 3 Chambres 2 Surface 53 m 2
Location meublée appartement 2 pièces 46 m² Paris 19E;Paris 19e (75019). Métro Porte de Pantin. Entre Buttes-Chaumont et Villette. 2 pièces meublé, 46 m², rez-de-chaussée sur jardin dans résidence fermée. Calme et très lumineux. Grandes baies vitrées. Etat neuf. Entrée, cuisine...;Porte de Pantin (Parc de la Villette), Butte du Chapeau Rouge, Ourcq;1.290 €;Pièces 2 Chambre 1 Surface 46 m 2
Location garage, parking Paris 18E;Paris 18e (75018). Nous mettons en location plusieurs places de parking au 1, rue Vincent Compoint dans le 18ème arrondissement, disponibles immédiatement : Il s'agit d'un parking privé, dans un immeuble d'habitation (accès par une...;Jules Joffrin, Lamarck - Caulaincourt, Porte de Clignancourt;55 €;
Location meublée appartement 2 pièces Paris 6E;Paris 6e (75006). Rue du Cherche Midi. ** Pour étudiants(es) sérieux. Toutes nationalités.** A 100 m du magasin ' Le Bon Marché ', des métros Sèvres-Babylone et Saint-Placide. A moins de 5 min de marche de Sciences-Po et du...;;1.450 €;Pièces 2 Chambre 1
Location meublée appartement 5 pièces 98 m² Paris 7E;Paris 7e (75007). T5, Bac/Grenelle : Appartement familial entièrement rénové : une chambre parentale, deux chambres enfants en face de l'école Ste Clotilde. Séjour avec poutres et cheminée donnant sur terrasse de 20 m²,...;Rue du Bac, Solférino (Musée d'Orsay), Sèvres - Babylone;3.600 €;Pièces 5 Chambres 3 Surface 98 m 2
Location garage, parking Paris 15E;Paris 15e (75015). Parking couvert, une place. Idéal pour petite voiture citadine/moto/mobylette. Loyer : 110 € charges comprises.;Dupleix, Bir-Hakeim (Tour Eiffel), Champ de Mars - Tour Eiffel;110 €;
Location meublée studio 13 m² Paris 17E;Paris 17e (75017). Studio entièrement neuf dans immeuble pierre de taille, 6eme étage ascenseur, interphone, calme, 2 grandes fenêtres : cuisine équipée (four, réfrigérateur, plaques cuisson, machine à laver, salle de bains,...;Ternes, Pereire (Maréchal Juin), Porte de Champerret;950 €;Pièce 1 Surface 13 m 2
Location appartement 2 pièces 65 m² Paris 17E;Paris 17e (75017). Paris 17 Ternes. Loue appartement dans bel immeuble sur place dégagée sans vis-à-vis. Exposition plein sud. Entrée, salon, salle à manger, chambre, cuisine dinatoire, salle de bains, dressings. Le tout entièrement...;;1.950 €;Pièces 2 Chambre 1 Surface 65 m 2
