title;address;averageprice;rating
Neige d'été;12, rue de l'Amiral Roussin 75015 Paris;Prix moyen 50 €;9,6
Aux Trois Petits Cochons;28 Rue la Vieuville 75018 Paris;Prix moyen 27 €;10
Restaurant Le Lumière - Hôtel Scribe Paris;1 Rue Scribe 75009 Paris;Prix moyen 48 €;9
Esens'all;12, rue Dulong 75017 Paris;Prix moyen 65 €;9,5
PDG - Rive Gauche;5 Rue du Dragon 75006 Paris;Prix moyen 24 €;9,1
Maison de l'Amérique Latine;217, boulevard Saint-Germain 75007 Paris;Prix moyen 50 €;9,1
Pratolina;11 Boulevard de Bonne Nouvelle 75002 Paris;Prix moyen 22 €;9,1
Café Moderne;40, rue Notre Dame des Victoires 75002 Paris;Prix moyen 36 €;9,1
Sant Antonio Pizza;1 Rue de la Verrerie 75004 Paris;Prix moyen 20 €;9,1
La Confidente;125 Avenue Gambetta 75020 Paris;Prix moyen 23 €;9,1
Le Pot de Vins;36, rue Croix des Petits Champs 75001 Paris;Prix moyen 25 €;9,1
Le Cinq - Four Seasons Hôtel George V;31, avenue George V 75008 Paris;Prix moyen 180 €;9,7
Le Poulailler;60 Rue Saint-Sabin 75011 Paris;Prix moyen 24 €;9,1
Le Rotanah;4 Rue Castex 75004 Paris;Prix moyen 25 €;9,1
Restaurant le Meurice Alain Ducasse;228, rue de Rivoli 75001 Paris;Prix moyen 276 €;9,3
La Ruche à Miel;19 Rue d'Aligre 75012 Paris;Prix moyen 20 €;9,1
L'Echoppe de Paris-Lamarck;154 Rue Lamarck 75018 Paris;Prix moyen 20 €;9,1
Le Caroubier;82, boulevard Lefebvre 75015 Paris;Prix moyen 30 €;9
Aux Dés Calés;181 Rue Legendre 75017 Paris;Prix moyen 22 €;9,1
Terres du Sud;7 Rue de Cadix 75015 Paris;Prix moyen 27 €;9,1
Mountain;136 Rue de Crimée 75019 Paris;Prix moyen 23 €;9,1
Amores;13 Rue Ternaux 75011 Paris;Prix moyen 22 €;9,1
Le V - Hôtel Vernet;25, rue Vernet 75008 Paris;Prix moyen 60 €;9,2
Suraj;121 Rue Didot 75014 Paris;Prix moyen 30 €;9,1
Blossom - Sofitel Paris Le Faubourg;15 Rue Boissy d'Anglas 75008 Paris;Prix moyen 50 €;9,2
Patuco;4 Rue de la Fontaine au Roi 75011 Paris;Prix moyen 18 €;9,1
Chez Frézet;181 Rue Ordener 75018 Paris;Prix moyen 32 €;9
Chez Charbel;165, avenue de Versailles 75016 Paris;Prix moyen 25 €;9
So Italia;43 Avenue Philippe-Auguste 75011 Paris;Prix moyen 30 €;9,3
Les Voiles;35, rue bayen 75017 Paris;Prix moyen 35 €;8,9
MONTÉE;9 Rue Léopold Robert 75014 Paris;;9,6
Fermé - La Grille;80 Rue du Faubourg Poissonnière 75010 Paris;Prix moyen 35 €;10
My Little Cellar;3 Rue de la Forge Royale 75011 Paris;Prix moyen 20 €;9
Le Vent d'Armor;25 Quai de la Tournelle 75005 Paris;Prix moyen 50 €;9,6
Zachuka;48 Rue de La Jonquière 75017 Paris;Prix moyen 16 €;9
SILK & SPICE;6, rue Mandar 75002 Paris;Prix moyen 41 €;9,1
Restaurant Cap;42 boulevard Pereire 75017 Paris;Prix moyen 45 €;9,4
Ciasa Mia - Samuel Mocci;19, rue Laplace 75005 Paris;Prix moyen 66 €;9,6
Le Petit Commines;16 Rue Commines 75003 Paris;Prix moyen 45 €;9,2
La Table d'Eugène;18 Rue Eugène Sue 75018 Paris;Prix moyen 52 €;9,5
Comptoir Montevideo;44 Rue Coquillière 75001 Paris;Prix moyen 30 €;9,4
Adaggio;207 Rue la Fayette 75010 Paris;Prix moyen 17 €;9,2
MayDay;1 Rue Damrémont 75018 Paris;Prix moyen 30 €;9,2
Le Blue Valentine;13 Rue de la Pierre Levée 75011 Paris;Prix moyen 52 €;9,2
LiLi, The Peninsula Paris;19 Avenue Kléber 75116 Paris;Prix moyen 100 €;9,2
Ristorantino Shardana;134 Rue du Théâtre 75015 Paris;Prix moyen 35 €;9,2
Sushirama;95 Rue du Faubourg Saint-Martin 75010 Paris;Prix moyen 15 €;9,2
Jeongané;60 Rue des Morillons 75015 Paris;Prix moyen 20 €;9,2
Cléo;19 Boulevard de la Tour-Maubourg 75007 Paris;Prix moyen 50 €;9,2
Les BS;43 Avenue Trudaine 75009 Paris;Prix moyen 22 €;9,2
Carrousel Français;12 rue de Turbigo 75001 Paris;Prix moyen 25 €;9,2
Les Moussaillons;139 Rue Cardinet 75017 Paris;Prix moyen 30 €;9,2
Maria Magdalena;41, rue de la Rochefoucauld 75009 Paris;Prix moyen 20 €;9,2
Le Quinzième;14, rue Cauchy 75015 Paris;Prix moyen 110 €;9,5
Com Viet;26 Rue Vergniaud 75013 Paris;Prix moyen 22 €;8,9
Truffes Folies 8ème;48 Rue de Berri 75008 Paris;Prix moyen 39 €;8,9
Le Saint-Laurent;10 Rue des Saussaies 75008 Paris;Prix moyen 30 €;9
Le Café Dumas;34, avenue de Villiers 75017 Paris;Prix moyen 30 €;8,7
Tipaza;155, rue Saint Charles 75015 Paris;Prix moyen 22 €;9
Les Trois Carafes;3 Rue Linné 75005 Paris;Prix moyen 43 €;8,9
Swagat;58 Rue la Fayette 75009 Paris;Prix moyen 25 €;8,9
Tom Yam Thai;250 Rue de la Convention 75015 Paris;Prix moyen 27 €;9
Giallo Oro;90 bis, avenue de Versailles 75016 Paris;Prix moyen 34 €;8,9
Casa Hugo;48 Rue Monge 75005 Paris;Prix moyen 35 €;9
Mama Jia;88 Rue des Gravilliers 75003 Paris;Prix moyen 14 €;9
Le Riad;2, rue Gervex 75017 Paris;Prix moyen 29 €;9
La Bonne Vie;35 Rue Notre Dame de Lorette 75009 Paris;Prix moyen 25 €;8,9
Crêperie Framboise Grands Boulevards;8 Rue Rougemont 75009 Paris;Prix moyen 20 €;8,9
Tokyo;11 Rue Saint-Lazare 75009 Paris;Prix moyen 18 €;8,9
Le 120;120, rue de la Pompe 75116 Paris;Prix moyen 21 €;8,9
Lakshmi Bhavan - Montmartre;57, rue Rodier 75009 Paris;Prix moyen 18 €;9
Lobster Bar;41, rue Coquillière 75001 Paris;Prix moyen 32 €;8,9
Sorella;13 Avenue Bugeaud 75116 Paris;Prix moyen 25 €;9
La Zinguerie;95 Rue du Chemin Vert 75011 Paris;Prix moyen 20 €;9
La Cucina De Luca;6, rue du Débarcadère 75017 Paris;Prix moyen 56 €;9
Jaipur Café;15-17, rue des Messageries 75010 Paris;Prix moyen 20 €;8,7
